Rk,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
80,Mikael Backlund\backlmi01,26,C,CGY,82,21,26,47,10,28,15,3,3,4,19,6,1,155,13.5,1347,16:26,51,68,539,604,47.2
81,Tomas Hertl\hertlto01,22,C,SJS,81,21,25,46,16,26,18,3,0,3,21,4,0,202,10.4,1294,15:58,60,90,256,201,56.0
82,David Backes\backeda01,31,C,STL,79,21,24,45,4,83,13,8,0,3,19,5,0,168,12.5,1519,19:14,63,239,620,572,52.0
83,Tomas Tatar\tatarto01,25,LW,DET,81,21,24,45,4,24,14,7,0,3,16,8,0,165,12.7,1162,14:21,18,74,6,18,25.0
84,Chris Kreider\kreidch01,24,LW,NYR,79,21,22,43,10,58,16,5,0,3,19,3,0,158,13.3,1261,15:57,33,177,5,1,83.3
85,Joel Ward\wardjo02,35,RW,SJS,79,21,22,43,-15,28,15,5,1,3,14,7,1,138,15.2,1341,16:58,53,68,237,255,48.2
86,Charlie Coyle\coylech01,23,C,MIN,82,21,21,42,1,16,19,2,0,4,16,4,1,140,15.0,1419,17:18,60,130,228,274,45.4
87,Drew Stafford\staffdr01,30,RW,WPG,78,21,17,38,-23,28,14,6,1,6,12,3,2,187,11.2,1394,17:52,15,59,51,50,50.5
88,Craig Smith\smithcr01,26,RW,NSH,82,21,16,37,4,40,19,2,0,6,13,3,0,199,10.6,1245,15:11,18,84,76,154,33.0
89,Evgeny Kuznetsov\kuzneev01,23,C,WSH,82,20,57,77,27,32,15,5,0,4,44,13,0,193,10.4,1428,17:25,29,73,543,594,47.8
90,Nicklas Backstrom\backsni02,28,C,WSH,75,20,50,70,17,36,17,3,0,4,23,27,0,129,15.5,1439,19:11,50,51,659,698,48.6
91,Jonathan Huberdeau\huberjo01,22,LW,FLA,76,20,39,59,17,43,15,4,1,2,30,9,0,174,11.5,1379,18:09,36,53,7,11,38.9
92,Milan Lucic\lucicmi01,27,LW,LAK,81,20,35,55,26,79,18,2,0,5,29,6,0,124,16.1,1396,17:14,22,244,7,13,35.0
93,Patrick Sharp\sharppa01,34,LW,DAL,76,20,35,55,-3,27,13,7,0,6,18,17,0,226,8.8,1339,17:37,24,76,16,17,48.5
94,Gabriel Landeskog\landega01,23,LW,COL,75,20,33,53,-5,69,15,4,1,2,21,10,2,169,11.8,1419,18:56,66,141,31,25,55.4
95,Frans Nielsen\nielsfr01,31,C,NYI,81,20,32,52,1,12,11,7,2,2,19,13,0,181,11.0,1435,17:43,92,35,586,583,50.1
96,Shea Weber\webersh01,30,D,NSH,78,20,31,51,-7,27,6,14,0,1,18,12,1,189,10.6,1979,25:23,160,169,0,0,
97,Jordan Staal\staaljo01,27,C,CAR,82,20,28,48,6,34,14,6,0,4,22,4,2,151,13.2,1501,18:18,31,165,806,589,57.8
98,Anthony Duclair\duclaan01,20,LW,ARI,81,20,24,44,12,49,12,8,0,2,20,4,0,105,19.0,1164,14:22,27,27,0,1,0.0
99,Nino Niederreiter\niedeni01,23,RW,MIN,82,20,23,43,9,36,18,2,0,1,20,3,0,159,12.6,1275,15:33,19,129,11,16,40.7
100,Rickard Rakell\rakelri01,22,C,ANA,72,20,23,43,-1,19,16,4,0,7,17,6,0,169,11.8,1157,16:04,30,121,197,254,43.7
101,Artem Anisimov\anisiar01,27,C,CHI,77,20,22,42,8,12,12,5,3,1,16,5,1,121,16.5,1393,18:05,40,53,507,641,44.2
102,P.A. Parenteau\parenpi01,32,RW,TOR,77,20,21,41,0,68,13,7,0,3,17,4,0,168,11.9,1252,16:16,26,48,4,14,22.2
103,Jason Chimera\chimeja01,36,LW,WSH,82,20,20,40,0,22,14,4,2,3,15,5,0,165,12.1,1152,14:03,13,103,8,20,28.6
104,Jakob Silfverberg\silfvja01,25,RW,ANA,82,20,19,39,8,32,18,2,0,2,16,2,1,215,9.3,1392,16:58,58,87,4,16,20.0
105,Evander Kane\kaneev01,24,LW,BUF,65,20,15,35,-14,91,17,2,1,3,11,4,0,271,7.4,1367,21:02,23,171,62,62,50.0
106,Joe Thornton\thornjo01,36,C,SJS,82,19,63,82,25,54,11,8,0,6,42,21,0,121,15.7,1506,18:22,30,48,399,353,53.1
107,Dustin Byfuglien\byfugdu01,30,D,WPG,81,19,34,53,4,119,15,3,1,6,19,14,1,247,7.7,2041,25:12,105,222,0,0,
108,Leon Draisaitl\draisle01,20,C,EDM,72,19,32,51,-2,20,14,5,0,2,28,4,0,133,14.3,1300,18:03,18,38,502,536,48.4
109,Lee Stempniak\stemple01,32,RW,TOT,82,19,32,51,4,38,15,3,1,4,23,9,0,146,13.0,1471,17:57,34,113,2,11,15.4
110,Joe Colborne\colbojo01,26,C,CGY,73,19,25,44,-9,27,16,3,0,2,23,2,0,100,19.0,1107,15:10,28,122,85,70,54.8
111,Jean-Gabriel Pageau\pageaje01,23,C,OTT,82,19,24,43,17,26,11,1,7,2,21,1,2,133,14.3,1370,16:42,60,166,614,563,52.2
112,Justin Abdelkader\abdelju01,28,LW,DET,82,19,23,42,-16,120,13,6,0,4,16,7,0,155,12.3,1512,18:26,44,207,5,9,35.7
113,Brendan Gallagher\gallabr01,23,RW,MTL,53,19,21,40,13,24,12,7,0,0,18,3,0,173,11.0,879,16:35,25,43,12,17,41.4
114,Leo Komarov\komarle01,29,C,TOR,67,19,17,36,-12,40,14,4,1,2,14,3,0,130,14.6,1195,17:50,27,283,62,65,48.8
115,Jussi Jokinen\jokinju01,32,LW,FLA,81,18,42,60,25,42,12,5,1,1,34,7,1,153,11.8,1482,18:17,50,43,135,127,51.5
116,Max Domi\domima01,20,LW,ARI,81,18,34,52,3,72,15,3,0,0,21,12,1,156,11.5,1326,16:22,25,34,20,35,36.4
117,Thomas Vanek\vanekth01,32,LW,MIN,74,18,23,41,-9,22,12,6,0,5,15,8,0,146,12.3,1155,15:37,17,18,12,26,31.6
118,Troy Brouwer\brouwtr01,30,RW,STL,82,18,21,39,2,62,11,7,0,4,18,3,0,142,12.7,1394,16:00,52,200,65,49,57.0
119,Robby Fabbri\fabbrro01,20,C,STL,72,18,19,37,-2,25,16,2,0,3,13,6,0,114,15.8,959,13:19,9,51,6,9,40.0
120,Sam Bennett\bennesa01,19,C,CGY,77,18,18,36,-11,37,15,3,0,2,13,5,0,136,13.2,1166,15:09,32,110,160,187,46.1
121,David Krejci\krejcda01,29,C,BOS,72,17,46,63,4,32,13,4,0,3,29,14,3,143,11.9,1462,20:18,57,43,560,557,50.1
122,Mikko Koivu\koivumi01,32,C,MIN,82,17,39,56,6,40,6,10,1,2,28,10,1,141,12.1,1634,19:56,57,38,988,771,56.2
123,Alex Steen\steenal01,31,LW,STL,67,17,35,52,3,48,14,2,1,2,16,19,0,172,9.9,1365,20:22,35,50,159,198,44.5
124,Mikkel Boedker\boedkmi01,26,LW,TOT,80,17,34,51,-33,12,14,3,0,5,18,16,0,166,10.2,1481,18:30,31,50,1,2,33.3
125,Brandon Dubinsky\dubinbr01,29,C,CBJ,75,17,31,48,-16,71,12,5,0,3,26,5,0,158,10.8,1407,18:46,40,235,780,704,52.6
126,Shayne Gostisbehere\gostish01,22,D,PHI,64,17,29,46,8,24,9,8,0,5,15,14,0,152,11.2,1286,20:05,59,27,1,0,100.0
127,Marcus Johansson\johanma03,25,LW,WSH,74,17,29,46,12,16,11,6,0,7,21,8,0,132,12.9,1231,16:38,24,38,128,150,46.0
128,Nazem Kadri\kadrina01,25,C,TOR,76,17,28,45,-15,73,13,4,0,2,18,10,0,260,6.5,1389,18:16,43,148,641,663,49.2
129,Gustav Nyquist\nyquigu01,26,RW,DET,82,17,26,43,-2,34,10,7,0,3,21,5,0,161,10.6,1244,15:10,19,58,0,2,0.0
